ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IH,CG,PSM,PSG,CAND_IND1,CAND_IND2,CAND_IND4,CAND_IND5,CAND_IND7,CAND_IND8,CAND_IND9,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,PAN_PRD,PRD_MC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2163,1,46,36,5,3,1,5,44,51,1,5,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,208,0,9,217,336,10,357,530,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2164,6,548,422,74,48,37,56,409,411,16,194,39,34,14,6,0,0,0,0,0,0,0,10,3,5,0,7,3,0,0,2336,0,83,2419,4040,16,332,575,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2165,1,31,158,3,59,4,1,2,17,4,3,15,6,0,0,0,0,0,0,0,0,0,1,0,0,0,11,1,0,0,316,0,13,329,507,13,336,575,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2166,2,36,114,30,16,38,2,30,102,10,4,45,10,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,442,0,32,474,935,24,400,698,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2167,1,55,25,8,6,11,5,7,49,5,50,41,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,270,0,12,282,485,13,395,698,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2168,2,107,183,16,24,27,66,60,115,7,77,8,83,0,2,0,0,0,0,0,0,0,1,2,1,1,8,1,0,0,789,0,31,820,1444,0,418,697,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2169,4,313,311,57,53,57,26,47,106,6,50,78,49,9,2,0,0,0,0,0,0,0,4,9,2,1,18,0,0,0,1198,0,76,1274,2363,12,357,537,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2170,1,39,33,0,1,1,1,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,89,0,3,92,163,7,374,537,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2173,1,45,65,5,1,5,0,26,13,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,173,0,2,175,296,18,407,578,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2174,1,25,2,0,4,20,0,9,14,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,82,153,5,499,733,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2175,1,60,48,3,8,8,0,7,18,2,1,1,19,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,181,0,18,199,316,11,431,607,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2176,1,32,26,3,12,1,0,9,12,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,1,105,185,8,167,0,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2177,2,89,114,15,22,5,10,42,55,3,50,8,2,1,2,0,0,0,0,0,0,0,2,2,0,0,4,1,0,0,427,1,23,451,801,7,223,0,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2178,1,68,35,17,2,5,1,10,21,1,17,3,29,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,214,0,9,223,366,14,331,510,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2179,1,26,51,12,11,3,4,22,42,2,24,0,17,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,219,0,6,225,359,13,336,509,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2180,2,104,172,11,28,10,42,30,15,0,26,3,3,0,5,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,455,0,38,493,907,15,333,509,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2181,1,42,26,8,9,38,1,8,23,1,1,8,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,18,198,443,8,138,0,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2182,2,179,135,47,46,5,28,80,88,7,54,7,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,686,0,28,714,1150,8,299,416,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2183,2,131,77,13,30,4,17,63,75,5,93,10,3,17,0,0,0,0,0,0,0,0,3,1,0,1,4,1,0,0,548,0,17,565,934,4,296,415,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2184,1,55,82,6,25,19,5,18,47,0,34,0,10,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,305,0,14,319,505,17,399,596,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2185,1,55,40,0,9,29,4,34,16,2,4,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,200,0,9,209,398,0,400,596,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2186,1,25,10,4,3,9,1,5,24,1,3,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,0,13,103,150,10,413,596,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2187,1,35,14,2,4,15,1,6,10,2,8,18,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,118,0,4,122,187,14,459,708,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2188,1,31,17,10,1,2,1,6,6,0,4,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,84,0,0,84,121,5,370,560,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2189,1,35,8,13,3,2,1,6,8,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,88,0,6,94,145,13,438,685,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2190,1,21,32,3,17,0,0,11,8,0,7,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,127,0,5,132,212,17,459,685,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2191,3,177,223,53,26,53,6,31,167,13,95,5,74,3,0,0,0,0,0,0,0,0,1,3,0,0,4,2,0,0,936,2,35,973,1804,11,508,748,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2192,1,14,28,16,20,17,2,17,43,1,52,4,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,223,0,16,239,360,18,468,747,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2193,1,126,66,11,12,6,7,47,72,1,33,4,7,0,0,0,0,0,0,0,0,0,1,3,0,0,2,2,0,0,400,0,21,421,670,9,293,506,Acta casilla,,,
