CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PES,RSP,FXP,CAND_IND1,PRI_PRD,PT_PVEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2151,1,128,122,23,1,10,11,69,0,1,95,10,0,0,470,0,11,481,730
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2152,2,153,137,29,10,19,20,117,4,1,152,20,3,0,665,0,14,679,596
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2153,3,192,184,32,5,29,21,193,4,9,254,35,5,0,963,0,29,992,1495
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2154,2,114,85,14,2,19,13,99,1,4,154,19,0,0,524,0,14,538,823
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2155,3,283,166,39,4,21,28,213,2,1,263,31,3,0,1054,0,26,1080,1767
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2156,1,50,52,7,5,18,13,97,1,2,131,26,2,0,404,0,11,415,712
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2157,1,52,41,15,1,10,14,57,2,3,97,19,0,0,311,0,4,315,557
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2158,2,110,149,28,0,9,11,184,3,5,190,39,5,0,733,4,20,757,1341
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2159,2,118,143,36,6,24,19,212,3,7,183,24,3,0,778,0,25,803,1485
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2160,2,75,126,12,3,32,31,174,3,8,209,26,4,0,703,0,20,723,1473
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2161,3,162,141,40,11,39,29,188,6,7,272,39,4,0,938,0,42,980,2112
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2162,2,135,100,28,2,27,15,131,5,7,244,26,2,0,722,1,26,749,1370
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2163,1,33,24,4,1,3,5,56,0,2,51,5,0,0,184,0,5,189,338
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2165,1,1,16,9,1,4,0,29,3,1,322,0,0,0,386,0,33,419,510
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2166,2,9,43,2,3,10,9,23,3,4,528,2,0,0,636,0,26,662,930
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2167,1,8,29,6,1,10,3,4,2,0,301,0,0,0,364,0,9,373,523
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2168,2,87,232,15,7,75,16,74,7,3,353,6,5,0,880,0,45,925,1447
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2169,4,75,188,37,12,27,24,47,5,7,1219,5,1,0,1647,0,64,1711,2396
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2170,1,3,5,2,4,1,1,2,0,0,69,1,1,0,89,0,5,94,161
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2173,1,0,0,0,10,1,0,3,1,0,135,0,0,0,150,0,15,165,268
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2174,1,0,0,0,0,0,0,0,0,0,61,0,0,0,61,0,8,69,139
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2175,1,3,0,2,3,0,0,4,3,2,198,0,0,0,215,0,14,229,325
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2176,1,0,0,0,0,0,0,4,0,0,97,0,0,0,101,0,5,106,172
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2177,2,44,151,42,1,11,19,56,13,1,101,9,10,0,458,0,19,477,821
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2178,1,8,18,4,0,6,3,7,0,3,200,1,0,0,250,0,17,267,371
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2179,1,11,53,2,2,9,5,24,2,2,124,2,0,0,236,0,3,239,363
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2180,2,25,76,6,5,21,7,19,6,4,414,4,1,0,588,0,33,621,940
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2181,1,1,18,0,1,2,0,4,4,1,212,0,0,0,243,0,17,260,436
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2182,2,74,115,51,1,31,30,108,2,8,156,12,4,0,592,0,30,622,1136
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2183,2,56,108,27,0,28,28,83,2,1,109,10,2,0,454,0,19,473,964
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2184,1,3,13,6,6,7,3,8,4,3,238,3,0,0,294,0,17,311,491
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2185,1,4,7,1,11,2,2,0,3,1,158,0,1,0,190,0,5,195,373
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2186,1,1,4,1,0,3,2,2,0,1,82,0,0,0,96,0,8,104,157
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2187,1,0,7,0,2,0,0,2,1,0,118,2,0,0,132,0,12,144,198
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2188,1,1,0,0,0,0,0,0,0,0,93,0,2,0,96,0,0,96,120
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2189,1,2,2,4,0,1,1,0,0,1,80,0,0,0,91,0,2,93,132
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2190,1,1,13,2,0,3,1,2,0,2,111,3,0,0,138,0,6,144,202
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2191,3,109,156,133,65,43,51,75,4,4,81,23,1,0,745,1,38,784,1780
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2192,1,30,14,8,6,18,21,50,2,4,34,14,0,0,201,0,12,213,362
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2193,1,48,67,50,1,18,9,72,1,3,80,8,1,0,358,0,15,373,706
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2194,1,39,32,19,2,7,5,23,4,0,227,2,3,0,363,0,6,369,541
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2195,3,242,307,140,5,71,41,194,9,24,224,27,15,0,1299,0,38,1337,2212
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2196,2,46,112,67,5,72,18,100,7,3,162,5,2,0,599,6,12,617,1134
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2197,1,39,26,20,4,8,9,37,4,3,103,7,1,0,261,0,4,265,534
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2198,1,34,42,37,1,27,14,30,0,2,100,5,0,0,292,0,6,298,567
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2199,1,44,72,65,3,10,14,84,3,1,46,6,0,0,348,0,15,363,539
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2200,1,32,34,47,6,18,20,36,1,1,22,1,0,0,218,0,6,224,332
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2201,1,47,142,46,26,7,23,36,1,5,22,12,2,0,369,0,9,378,745
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2202,1,4,15,10,0,2,3,4,0,0,26,0,0,0,64,0,1,65,106
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2203,2,66,227,83,26,7,18,72,4,12,21,0,8,0,544,0,20,564,1181
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2204,1,18,96,31,14,5,2,34,1,3,8,1,2,0,215,0,9,224,485
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2205,2,161,123,38,8,13,31,192,5,6,46,9,3,0,635,0,28,663,1211
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2206,2,98,96,104,1,45,13,104,5,6,78,2,0,0,552,1,26,579,1017
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2207,2,88,135,124,3,47,18,151,6,4,106,16,3,0,701,0,27,728,1341
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2208,4,261,516,14,13,163,8,101,6,11,61,10,5,0,1169,0,106,1275,2348
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2209,2,168,236,13,7,38,1,18,3,2,32,0,0,0,518,0,28,546,1018
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2210,2,102,244,5,4,73,3,30,0,5,128,0,0,0,594,1,24,619,846
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2211,1,43,92,52,1,15,5,48,0,2,12,6,5,0,281,0,9,290,541
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2212,1,6,34,9,0,1,3,22,2,0,6,0,0,0,83,0,4,87,282
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2213,2,134,104,12,2,11,5,37,3,1,9,1,1,0,320,0,14,334,755
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2214,1,25,31,2,2,0,3,3,0,1,3,0,0,0,70,0,1,71,119
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2215,1,36,81,64,6,0,3,70,3,4,15,0,1,0,283,0,9,292,609
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2216,1,38,53,5,1,1,3,19,1,1,1,1,1,0,125,0,1,126,292
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2217,1,38,98,33,1,1,1,15,0,0,3,0,5,0,195,0,7,202,422
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2218,1,58,51,6,1,6,2,49,3,2,12,3,1,0,194,0,2,196,419
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2219,1,73,18,65,0,17,3,9,0,0,3,0,0,0,188,0,14,202,353
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2220,1,50,97,1,1,0,0,7,0,0,1,0,1,0,158,0,2,160,298
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2221,1,60,15,1,0,1,5,20,3,0,10,0,0,0,115,0,7,122,259
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2222,3,244,146,111,8,50,68,143,7,4,177,29,3,0,990,0,39,1029,1905
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2794,4,145,227,47,44,46,44,187,2,5,300,31,4,0,1082,0,38,1120,2274
4,12,GUERRERO,21,TAXCO,56,TAXCO DE ALARCON,2795,3,162,159,31,8,26,34,162,2,7,287,22,2,0,902,0,33,935,1813
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
