ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IH,CG,PSM,PSG,CAND_IND1,CAND_IND2,CAND_IND4,CAND_IND5,CAND_IND7,CAND_IND8,CAND_IND9,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,TOTAL_CALCULADO,FLAG_CALIDAD,OBSERVACIONES
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2185,1,55,40,0,9,29,4,34,16,2,4,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,1,200,0.0,9.0,209,398,209.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2186,1,25,10,4,3,9,1,5,24,1,3,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,90,0.0,13.0,103,150,103.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2187,1,35,14,2,4,15,1,6,10,2,8,18,2,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,118,0.0,4.0,122,187,122.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2188,1,31,17,10,1,2,1,6,6,0,4,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0,0,84,0.0,0.0,84,121,84.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2189,1,35,8,13,3,2,1,6,8,0,9,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,88,0.0,6.0,94,145,94.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2190,1,21,32,3,17,0,0,11,8,0,7,0,22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,1,127,0.0,5.0,132,212,132.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2191,3,177,223,53,26,53,6,31,167,13,95,5,74,3,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0,4,2,936,2.0,35.0,973,1804,973.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2192,1,14,28,16,20,17,2,17,43,1,52,4,8,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,223,0.0,16.0,239,360,239.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2193,1,126,66,11,12,6,7,47,72,1,33,4,7,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0,2,2,400,0.0,21.0,421,670,421.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2194,1,160,24,3,5,14,1,98,27,1,14,0,3,1,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,1,0,355,0.0,16.0,371,525,371.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2195,3,246,315,42,57,13,50,207,222,11,90,23,69,24,0,0,0,0,0.0,0.0,0.0,0.0,7.0,5.0,5.0,1,1,0,1388,0.0,59.0,1447,2186,1447.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2196,2,88,168,16,18,4,12,198,78,4,72,10,17,3,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,5,1,696,0.0,30.0,726,1154,726.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2197,1,60,35,32,5,4,5,83,29,1,12,1,8,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,1,280,0.0,20.0,300,508,300.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2198,1,63,49,5,16,0,4,78,50,4,48,3,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,325,0.0,15.0,340,532,340.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2199,1,53,92,45,24,6,1,32,33,3,34,16,8,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,351,0.0,23.0,374,542,374.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2200,1,37,45,14,3,5,1,23,48,4,30,0,7,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,220,0.0,14.0,234,335,234.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2201,1,133,147,18,9,7,2,23,29,5,30,1,21,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,429,0.0,9.0,438,741,438.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2202,1,17,30,1,3,0,7,3,11,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1,0,0,83,0.0,1.0,84,107,84.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2203,2,184,158,67,9,19,3,12,77,6,31,0,36,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1,607,0.0,39.0,646,1222,646.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2204,1,33,87,8,10,13,2,4,53,0,7,26,2,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1,0,248,0.0,10.0,258,497,258.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2205,2,178,157,42,34,9,16,27,181,9,41,2,30,1,1,0,0,0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0,3,4,743,0.0,43.0,786,1222,786.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2206,2,225,147,17,13,8,8,32,87,3,17,0,37,1,0,0,0,0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0,3,0,604,0.0,32.0,636,1009,636.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2207,2,249,226,86,12,12,3,75,118,4,26,13,8,1,1,0,0,0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0,4,3,847,0.0,43.0,890,1377,890.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2208,4,110,520,113,146,15,98,87,147,7,14,6,15,2,0,0,0,0,0.0,0.0,0.0,0.0,9.0,2.0,8.0,1,26,3,1329,0.0,149.0,1478,2362,1478.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2209,2,48,186,52,26,14,85,25,55,7,5,2,8,1,1,0,0,0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,2,12,1,546,0.0,73.0,619,1043,619.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2210,2,38,245,55,19,12,85,10,27,4,4,0,6,1,0,0,0,0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1,11,4,530,0.0,54.0,584,863,584.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2211,1,66,77,65,4,3,3,12,45,1,4,1,0,2,0,0,0,0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,1,1,0,294,0.0,15.0,309,540,309.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2212,1,32,44,5,2,2,0,4,33,1,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,126,0.0,4.0,130,270,130.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2213,2,61,130,20,18,5,5,13,60,1,7,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0,4,0,332,0.0,28.0,360,800,360.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2214,1,8,33,2,1,1,3,3,4,0,0,5,8,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,3,0,74,0.0,4.0,78,119,78.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2215,1,94,77,18,5,13,1,7,40,2,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,2,0,265,0.0,20.0,285,589,285.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2216,1,38,44,13,0,1,0,1,11,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0,0,114,0.0,11.0,125,296,125.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2217,1,47,74,5,3,6,2,2,24,1,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,2,1,174,0.0,11.0,185,431,185.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2218,1,44,58,6,1,11,3,4,58,0,1,10,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,2,1,202,0.0,3.0,205,420,205.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2219,1,48,32,74,0,0,4,2,25,4,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,2,0,196,0.0,18.0,214,368,214.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2220,1,15,97,3,4,1,2,1,8,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,134,0.0,2.0,136,304,136.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2221,1,46,41,4,2,4,0,5,13,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,117,0.0,11.0,128,283,128.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2222,3,349,153,72,55,18,55,126,145,11,72,10,6,2,2,0,0,0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,1,5,0,1093,0.0,51.0,1144,1882,1144.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2177,B,1,0,B,43,57,8,6,4,5,21,23,3,26,3,1,0,1,,,,,,,,1,1,0,1,,,205,1,1.0,EXCEDE_LISTA,Total votos mayor a lista nominal
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2191,C,2,0,C02,65,78,16,11,27,2,11,58,5,28,2,25,1,0,,,,,,,,0,2,0,0,,,332,2,0.0,EXCEDE_LISTA,Total votos mayor a lista nominal
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2177,C,1,0,C01,46,57,7,16,1,5,21,32,0,24,5,1,1,1,,,,,,,,1,1,0,0,,11.0,233,400,11.0,CASILLA_ESPECIAL,Casilla especial (B/C/E) corregida
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2178,B,1,0,B,68,35,17,2,5,1,10,21,1,17,3,29,0,0,,,,,,,,1,1,1,0,,9.0,223,366,9.0,CASILLA_ESPECIAL,Casilla especial (B/C/E) corregida
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2179,B,1,0,B,26,51,12,11,3,4,22,42,2,24,0,17,2,0,,,,,,,,1,0,1,1,,6.0,225,359,7.0,CASILLA_ESPECIAL,Casilla especial (B/C/E) corregida
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2180,B,1,0,B,47,92,11,16,5,17,6,14,0,26,0,2,0,0,,,,,,,,1,1,0,0,,16.0,258,454,16.0,CASILLA_ESPECIAL,Casilla especial (B/C/E) corregida
